Failure : 232, Danger : 2, Collison : 51, Success : 77, Average Reward : -14267.83290825813, Number of steps : 2660
Failure : 232, Danger : 7, Collison : 72, Success : 78, Average Reward : -18953.371339142413, Number of steps : 3016
Failure : 97, Danger : 5, Collison : 43, Success : 41, Average Reward : -23853.514733374886, Number of steps : 1350
Failure : 127, Danger : 4, Collison : 80, Success : 49, Average Reward : -31350.411361171715, Number of steps : 2041
Failure : 180, Danger : 14, Collison : 118, Success : 73, Average Reward : -31907.586989058593, Number of steps : 3011
Failure : 153, Danger : 1, Collison : 27, Success : 44, Average Reward : -12184.533378684413, Number of steps : 2217
Failure : 153, Danger : 1, Collison : 54, Success : 61, Average Reward : -20278.736207704987, Number of steps : 2757
Failure : 176, Danger : 17, Collison : 119, Success : 65, Average Reward : -33160.175113490564, Number of steps : 3009
Failure : 102, Danger : 7, Collison : 72, Success : 49, Average Reward : -32391.16111032189, Number of steps : 1897
Failure : 186, Danger : 29, Collison : 112, Success : 40, Average Reward : -33251.014792899405, Number of steps : 3010
Failure : 146, Danger : 17, Collison : 92, Success : 42, Average Reward : -32989.01457379157, Number of steps : 2977
Failure : 112, Danger : 20, Collison : 65, Success : 44, Average Reward : -29526.176470588234, Number of steps : 2016
Failure : 132, Danger : 4, Collison : 50, Success : 144, Average Reward : -15442.617984961047, Number of steps : 2965
Failure : 109, Danger : 0, Collison : 49, Success : 156, Average Reward : -15712.916733180715, Number of steps : 3034
Failure : 116, Danger : 0, Collison : 49, Success : 153, Average Reward : -15515.632791850607, Number of steps : 3018
Failure : 93, Danger : 0, Collison : 32, Success : 85, Average Reward : -15368.861904761905, Number of steps : 2361
Failure : 104, Danger : 1, Collison : 36, Success : 158, Average Reward : -12194.27092353672, Number of steps : 3048
Failure : 57, Danger : 2, Collison : 13, Success : 37, Average Reward : -12321.616822429907, Number of steps : 1552
Failure : 78, Danger : 1, Collison : 36, Success : 146, Average Reward : -13973.953796844804, Number of steps : 3057
Failure : 70, Danger : 0, Collison : 34, Success : 170, Average Reward : -12527.26076400483, Number of steps : 3062
Failure : 47, Danger : 3, Collison : 15, Success : 80, Average Reward : -10707.25352112676, Number of steps : 1845
Failure : 90, Danger : 6, Collison : 20, Success : 122, Average Reward : -8769.168103448275, Number of steps : 3055
Failure : 78, Danger : 2, Collison : 33, Success : 178, Average Reward : -11531.25174264129, Number of steps : 3050
Failure : 69, Danger : 7, Collison : 20, Success : 158, Average Reward : -8231.218623481782, Number of steps : 3075
Failure : 62, Danger : 30, Collison : 24, Success : 73, Average Reward : -15300.17610062893, Number of steps : 2867
Failure : 59, Danger : 24, Collison : 28, Success : 148, Average Reward : -12055.370212765958, Number of steps : 3061
Failure : 46, Danger : 12, Collison : 20, Success : 167, Average Reward : -8720.842948366659, Number of steps : 3059
Failure : 54, Danger : 30, Collison : 18, Success : 115, Average Reward : -9805.652406417112, Number of steps : 3054
Failure : 44, Danger : 16, Collison : 19, Success : 173, Average Reward : -8185.940677966101, Number of steps : 3064
Failure : 43, Danger : 25, Collison : 29, Success : 126, Average Reward : -14813.709197235525, Number of steps : 3084
Failure : 39, Danger : 13, Collison : 38, Success : 171, Average Reward : -15449.181451612903, Number of steps : 3058
Failure : 47, Danger : 28, Collison : 16, Success : 141, Average Reward : -8002.403721816757, Number of steps : 3023
Failure : 19, Danger : 34, Collison : 17, Success : 62, Average Reward : -17556.85285658979, Number of steps : 1879
Failure : 36, Danger : 13, Collison : 20, Success : 190, Average Reward : -8256.373983739837, Number of steps : 3057
Failure : 35, Danger : 14, Collison : 21, Success : 174, Average Reward : -9267.748615825545, Number of steps : 3076
Failure : 18, Danger : 56, Collison : 12, Success : 44, Average Reward : -16607.391891891893, Number of steps : 2567
Failure : 22, Danger : 40, Collison : 16, Success : 133, Average Reward : -9547.017543859649, Number of steps : 3081
